gesture_name,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
Yes,0.0,0.0,0.0,0.05516570806503296,-0.014736413955688477,0.00762970944896324,0.0976247787475586,-0.06965252757072449,0.014275618959516123,0.13396766781806946,-0.10149875283241272,0.015153381172865465,0.17002901434898376,-0.11416089534759521,0.017417485025077895,0.05120787024497986,-0.1510794460773468,0.04141400581255539,0.09907972812652588,-0.15336570143699646,0.035051966216713026,0.13675656914710999,-0.1444283425807953,0.021306757014542654,0.17054787278175354,-0.13298767805099487,0.009611916859000758,0.03623932600021362,-0.16972610354423523,0.02884089959815128,0.09911459684371948,-0.16907954216003418,0.0159909000064431,0.14305540919303894,-0.15240368247032166,-8.241244387363622e-05,0.184947669506073,-0.13543888926506042,-0.009579013902396127,0.02636280655860901,-0.1751861274242401,0.013059700969904497,0.09391561150550842,-0.17302462458610535,-0.0029952424668522326,0.13950976729393005,-0.15413621068000793,-0.012336375061124727,0.18011793494224548,-0.13358333706855774,-0.01560960976377146,0.02540743350982666,-0.17203620076179504,-0.0035302649342270342,0.08877900242805481,-0.16715124249458313,-0.019359972197264597,0.12626177072525024,-0.15332689881324768,-0.026016440111845895,0.1595330834388733,-0.1434733271598816,-0.028095876667350694
Yes,0.0,0.0,0.0,0.04715317487716675,-0.0005645751953125,0.0021365205880954363,0.10129532217979431,-0.057284533977508545,0.006347456493671189,0.13594308495521545,-0.09407007694244385,0.00705091889321352,0.17550885677337646,-0.10453599691390991,0.010036894132639418,0.05643734335899353,-0.15041980147361755,0.03423245904340888,0.10301905870437622,-0.14820408821105957,0.030170078401710043,0.13993418216705322,-0.14079850912094116,0.017769687821413527,0.17191743850708008,-0.13173061609268188,0.005714403943414936,0.0399397611618042,-0.16727608442306519,0.025126242091204176,0.10088127851486206,-0.16554230451583862,0.014387944725598345,0.1421079933643341,-0.14872398972511292,-0.000258251750352656,0.18242418766021729,-0.13510146737098694,-0.010149572963570108,0.027202516794204712,-0.1711992621421814,0.013208094996656428,0.09266090393066406,-0.16598200798034668,0.0012705755776494243,0.13779982924461365,-0.14831465482711792,-0.002423976302821984,0.18050247430801392,-0.1317729651927948,-0.0034746618352130554,0.027046680450439453,-0.165384441614151,-0.00023482309407540924,0.09212332963943481,-0.1600385308265686,-0.011495150613342275,0.13127091526985168,-0.14473748207092285,-0.01427524163082694,0.16453593969345093,-0.1359151005744934,-0.014632073218677988
Yes,0.0,0.0,0.0,0.05031740665435791,-0.010338544845581055,0.007110156588055361,0.09698522090911865,-0.06662452220916748,0.013341193090923298,0.1335238218307495,-0.10159951448440552,0.014809461314030159,0.1714935004711151,-0.11558341979980469,0.018001779917426575,0.049177855253219604,-0.162092924118042,0.041311271492190826,0.10062459111213684,-0.15887072682380676,0.03783419728631543,0.13790923357009888,-0.14811241626739502,0.02556881681437062,0.1712595820426941,-0.13637691736221313,0.014274979013748634,0.03302842378616333,-0.17917871475219727,0.029670652005620468,0.10127544403076172,-0.1754477620124817,0.019644251096792686,0.14332622289657593,-0.1551288366317749,0.004802660554446447,0.18302708864212036,-0.1374233067035675,-0.00430854409580661,0.02322375774383545,-0.18139898777008057,0.015339940789885986,0.09420430660247803,-0.17569154500961304,0.0022871564177648906,0.13896256685256958,-0.155771404504776,-0.004967035722188484,0.17953476309776306,-0.13705164194107056,-0.00750561151301099,0.02492395043373108,-0.17217519879341125,0.00020676596966495708,0.0906132161617279,-0.16656139492988586,-0.011820781972460281,0.12878462672233582,-0.15159088373184204,-0.015568462196938526,0.1620071530342102,-0.14235946536064148,-0.016107156869225037
Yes,0.0,0.0,0.0,0.04775819182395935,-0.002270042896270752,0.000851566138663884,0.1020568311214447,-0.058306336402893066,0.004480640628827359,0.13731348514556885,-0.09556281566619873,0.005147324634236838,0.17628386616706848,-0.10958406329154968,0.008246132397545125,0.05446338653564453,-0.15567007660865784,0.03191049792010858,0.10452014207839966,-0.1517673134803772,0.02721198111910894,0.1419166922569275,-0.1427951455116272,0.014602705129874494,0.1748357117176056,-0.13171598315238953,0.0027807473591394682,0.03734266757965088,-0.17256057262420654,0.023628125192118432,0.10232007503509521,-0.16978278756141663,0.011737214626265313,0.1437687873840332,-0.14994165301322937,-0.0032152629071049432,0.18369784951210022,-0.1323375403881073,-0.012638237102436278,0.02591291069984436,-0.1752217710018158,0.012642145381761338,0.09391289949417114,-0.16988074779510498,-0.0005648070443555753,0.138604074716568,-0.15031364560127258,-0.005505535526680205,0.1800447702407837,-0.13140791654586792,-0.006822201664107297,0.026560425758361816,-0.1677919328212738,0.0002555534222494771,0.09143480658531189,-0.16195979714393616,-0.012074571809279178,0.1291162669658661,-0.14726334810256958,-0.015472688487278674,0.16152924299240112,-0.1383480727672577,-0.01586134895543978
Yes,0.0,0.0,0.0,0.059728920459747314,-0.009075462818145752,0.00588456335100318,0.10597151517868042,-0.04798975586891174,0.005938302060542355,0.14768075942993164,-0.06745153665542603,0.0004834221952592088,0.18420028686523438,-0.07414805889129639,-0.0033924246337733166,0.06946450471878052,-0.16649940609931946,0.02957768206107403,0.12363114953041077,-0.14842823147773743,0.016665214938996087,0.16120460629463196,-0.1207614541053772,-0.0008310894147030012,0.19256168603897095,-0.09431865811347961,-0.013726184809627284,0.05895105004310608,-0.18117406964302063,0.01636022355961586,0.1303870975971222,-0.15806269645690918,-5.419763982672521e-05,0.1683960258960724,-0.12291470170021057,-0.01537789657157873,0.1992838978767395,-0.09146806597709656,-0.02358461703551029,0.05332803726196289,-0.18016862869262695,0.00042401199317509963,0.12668389081954956,-0.1571790874004364,-0.01678525257301544,0.16612279415130615,-0.12318861484527588,-0.02478916543913101,0.19659018516540527,-0.09270572662353516,-0.026546897100331535,0.05411028861999512,-0.16705730557441711,-0.016343245016457786,0.11679491400718689,-0.1411316692829132,-0.02989209789228653,0.14959996938705444,-0.11610162258148193,-0.03340749602210735,0.17703944444656372,-0.09642401337623596,-0.03272777582895969
Yes,0.0,0.0,0.0,0.07137775421142578,0.003941893577575684,0.011713242391465428,0.11965510249137878,-0.016783982515335083,0.01040490553748441,0.1599244475364685,-0.02052515745162964,0.002579012187538865,0.19590973854064941,-0.013363957405090332,-0.004387960536064384,0.1024613082408905,-0.16080999374389648,0.02800175384652448,0.1596432328224182,-0.11132371425628662,0.014955079416154149,0.19048893451690674,-0.06962239742279053,-0.0034816495605127784,0.21616530418395996,-0.030447840690612793,-0.017877641832114932,0.09352096915245056,-0.1727217435836792,0.010578023502944234,0.1687380075454712,-0.1179685890674591,-0.007665711221875426,0.19665095210075378,-0.06605055928230286,-0.02444926998543906,0.2173316478729248,-0.01603907346725464,-0.0331248787693994,0.08828860521316528,-0.16409382224082947,-0.008063444634558437,0.16252222657203674,-0.11254063248634338,-0.02306365198421645,0.19241678714752197,-0.06514191627502441,-0.02932258299517798,0.21333003044128418,-0.024303585290908813,-0.03043616539764571,0.0866694450378418,-0.13772189617156982,-0.027141239260913608,0.14543792605400085,-0.09507802128791809,-0.03730109310674834,0.1726486086845398,-0.06487491726875305,-0.038381669437171695,0.1944931447505951,-0.04151809215545654,-0.03659930429387259
Yes,0.0,0.0,0.0,0.05775049328804016,-0.023700058460235596,0.005157212709576697,0.09652242064476013,-0.0822300910949707,0.007962058746755929,0.1336652934551239,-0.11658474802970886,0.004268097208381505,0.16970065236091614,-0.13816514611244202,0.001800635113880844,0.05361366271972656,-0.16696402430534363,0.03725480519378266,0.10039383172988892,-0.17808228731155396,0.026331270562053533,0.13827404379844666,-0.16817894577980042,0.010497792141080708,0.1702844202518463,-0.15380233526229858,-0.0011936827967531372,0.03799450397491455,-0.18229436874389648,0.024730803893447728,0.0997861921787262,-0.19295069575309753,0.007073200756252618,0.14266183972358704,-0.17599403858184814,-0.010945513396023898,0.179640531539917,-0.15325498580932617,-0.020197595952510028,0.025716394186019897,-0.18626272678375244,0.008608828747213693,0.09235167503356934,-0.1979994773864746,-0.01081022668486753,0.13565608859062195,-0.17886114120483398,-0.022958782984375148,0.17149832844734192,-0.15424537658691406,-0.02667104780530849,0.01904892921447754,-0.18203380703926086,-0.00827900089180389,0.08293816447257996,-0.1847611665725708,-0.02509183764314571,0.12077835202217102,-0.17417356371879578,-0.033229456766008525,0.15399816632270813,-0.16326627135276794,-0.03569397471702018
Yes,0.0,0.0,0.0,0.055986374616622925,-0.020344197750091553,0.004234077513842749,0.0937420129776001,-0.07533708214759827,0.005980467063068318,0.1306110918521881,-0.1082594096660614,0.0012099086192165487,0.16639390587806702,-0.13103589415550232,-0.0023233787038634546,0.054599255323410034,-0.16187548637390137,0.0340819951264848,0.09839984774589539,-0.17467659711837769,0.02227052265095608,0.13660621643066406,-0.16239169239997864,0.006561702222256827,0.1689099371433258,-0.14501073956489563,-0.004764306254060102,0.04015570878982544,-0.17767775058746338,0.021532183152316975,0.0996171236038208,-0.18814074993133545,0.0038130968927134745,0.1433854103088379,-0.1695309281349182,-0.013467184628666473,0.18004092574119568,-0.1452801525592804,-0.022438589844227863,0.027861565351486206,-0.18260005116462708,0.005325667199372219,0.09442135691642761,-0.19363051652908325,-0.014692944835246635,0.13836106657981873,-0.17182838916778564,-0.026805386307955814,0.17380768060684204,-0.14480724930763245,-0.03057593888354404,0.01990664005279541,-0.17938202619552612,-0.01165746561002834,0.08366009593009949,-0.1780526340007782,-0.029122589516759945,0.12183243036270142,-0.16532966494560242,-0.03743503651332958,0.15476301312446594,-0.15180552005767822,-0.039922155800582004
Yes,0.0,0.0,0.0,0.07697778940200806,-0.05449414253234863,0.010289798579805165,0.11237508058547974,-0.10631135106086731,0.0071581356187095935,0.147379070520401,-0.13623645901679993,-0.0023407422977754777,0.18033576011657715,-0.15312343835830688,-0.01054424876750204,0.04435133934020996,-0.2188214361667633,0.016691438011520177,0.12089306116104126,-0.22413495182991028,-0.0034793437498876756,0.16017836332321167,-0.19926458597183228,-0.022838526316292018,0.19107693433761597,-0.17544561624526978,-0.03634761358082983,0.031047582626342773,-0.2154715657234192,-0.0014546169241214102,0.1230243444442749,-0.23091310262680054,-0.026925903655893535,0.16311338543891907,-0.1980585753917694,-0.04368615234673712,0.19542628526687622,-0.16673603653907776,-0.05101215551079008,0.028294265270233154,-0.19429618120193481,-0.02094844254136774,0.1155288815498352,-0.20315998792648315,-0.04254636625231001,0.1595562994480133,-0.17933687567710876,-0.04992988044799063,0.19146060943603516,-0.1596086025238037,-0.05054181525886747,0.03418529033660889,-0.15989145636558533,-0.04043087074936125,0.10101550817489624,-0.16907915472984314,-0.055101157076961726,0.1371701955795288,-0.16068589687347412,-0.05799383009255621,0.16674762964248657,-0.1562158763408661,-0.05698805014074537
Yes,0.0,0.0,0.0,0.07265368103981018,-0.04889178276062012,0.008055992647598487,0.10885819792747498,-0.1008618175983429,0.00371932214085291,0.1454032063484192,-0.1309082806110382,-0.006209172550995845,0.18005162477493286,-0.14777275919914246,-0.014623738602210778,0.04373332858085632,-0.21579071879386902,0.01358297396410535,0.11906495690345764,-0.2190346121788025,-0.007010896932740707,0.1576065719127655,-0.19222310185432434,-0.02622550144832303,0.18853306770324707,-0.1665278673171997,-0.03949366487603356,0.029965728521347046,-0.21246814727783203,-0.0035702230040328686,0.1207030713558197,-0.22650250792503357,-0.02982538729946782,0.16018185019493103,-0.1936822235584259,-0.04652194283943345,0.1925247609615326,-0.16079634428024292,-0.053392894342948694,0.025756120681762695,-0.1918182671070099,-0.02211231343488862,0.11213186383247375,-0.1985897421836853,-0.043646566346694726,0.15639352798461914,-0.17532241344451904,-0.05118057109456231,0.18905547261238098,-0.15498152375221252,-0.05181252561550309,0.030347585678100586,-0.15792900323867798,-0.04082416720729043,0.09690174460411072,-0.16392198204994202,-0.05498119048814942,0.1323193609714508,-0.15588784217834473,-0.05790557690005471,0.16120752692222595,-0.1514250934123993,-0.056993189976026315
